0 , [ [ 8, 10 ], 16, 1 ] 
1 , [ [ 10, 18 ], 28, 1 ] 
2 , [ [ 15, 56 ], 5, 2 ] 
3 , [ [ 19, 55 ], 10, 2 ] 
4 , [ [ 23, 35 ], 7, 2 ] 
5 , [ [ 27, 40 ], 874, 2 ] 
6 , [ [ 28, 87, 90, 672 ], 2, 3 ] 
7 , [ [ 28, 58 ], 42, 2 ] 
8 , [ [ 36, 223 ], 229, 2 ] 
9 , [ [ 42, 101, 109, 614 ], 3, 3 ] 
10 , [ [ 56, 70 ], 16, 2 ] 
11 , [ [ 59, 73, 80, 116 ], 1, 3 ] 
12 , [ [ 73, 944 ], 10, 3 ] 
13 , [ [ 75, 109, 331, 464, 582, 586 ], 4, 3 ] 
14 , [ [ 81, 97 ], 0, 3 ] 
15 , [ [ 133, 145 ], 8, 3 ] 
16 , [ [ 335, 637 ], 17, 3 ] 
17 , [ 0.2, [ 152, 189, 425, 858 ], 1 ] 
18 , [ 0.5, [ 18, 205 ], 1 ] 
19 , [ 1, [ 41, 77, 526, 949 ], 1 ] 
20 , [ 2, [ 519, 813 ], 1 ] 
21 , [ 3, [ 21, 33 ], 1 ] 
22 , [ 4, [ 9, 19, 22, 25, 26, 349 ], 1 ] 
23 , [ 5, [ 14, 937 ], 1 ] 
24 , [ 6, [ 8, 24 ], 1 ] 
25 , [ 8, [ 48, 783 ], 1 ] 
26 , [ 9, [ 342, 417 ], 1 ] 
27 , [ 10, [ 20, 88 ], 1 ] 
28 , [ 11, [ 11, 121 ], 1 ] 
29 , [ 14, [ 10, 13, 418, 930 ], 1 ] 
30 , [ 15, [ 23, 58 ], 1 ] 
31 , [ 19, [ 13, 275 ], 2 ] 
32 , [ 23, [ 700, 803 ], 2 ] 
33 , [ 31, [ 445, 610 ], 2 ] 
34 , [ 32, [ 220, 221 ], 2 ] 
35 , [ 37, [ 8, 27 ], 2 ] 
36 , [ 38, [ 3, 394 ], 2 ] 
37 , [ 41, [ 33, 646 ], 2 ] 
38 , [ 42, [ 7, 101, 149, 506 ], 2 ] 
39 , [ 43, [ 17, 455 ], 2 ] 
40 , [ 50, [ 15, 34 ], 2 ] 
41 , [ 73, [ 14, 42 ], 2 ] 
42 , [ 98, [ 10, 49 ], 2 ] 
43 , [ 8, [ 16, 48 ], 1 ] 
44 , [ 10, [ 16, 20, 28, 88 ], 1 ] 
45 , [ 15, [ 5, 22 ], 2 ] 
46 , [ 18, [ 28, 242 ], 1 ] 
47 , [ 19, [ 10, 13, 275, 740 ], 2 ] 
48 , [ 23, [ 7, 700 ], 2 ] 
49 , [ 27, [ 829, 874 ], 2 ] 
50 , [ 35, [ 7, 674 ], 2 ] 
51 , [ 56, [ 5, 16 ], 2 ] 
52 , [ 70, [ 16, 35 ], 2 ] 
53 , [ 73, [ 1, 10 ], 3 ] 
54 , [ 109, [ 3, 4 ], 3 ] 
55 , [ 331, [ 4, 397 ], 3 ] 
56 , [ 614, [ 3, 947 ], 3 ] 
57 , [ [ 42, 101 ], 3, 3 ] 
58 , [ [ 59, 80 ], 1, 3 ] 
59 , [ [ 75, 464, 582, 586 ], 4, 3 ] 
